ID,Address,Postal Code,City,Company ID,Deleted At,Created At,Ccc,Country,Red Authorisation Status,Agreement ID,Regime,Professional Group,Municipality,Location Address ID
58,LER - Lleida,00000,Lleida,0191db6efe10e834,,"July 17, 2025, 4:25 PM",25111701621,España,Authorised,14,0111,,,
64,,08210,,06881f2c5fc0762b,,"August 21, 2025, 9:46 AM",08234319387,,Pending verification,10,0111,,,068a6eafee4e7c48
65,,08402,,06881f2c5fc0762b,,"August 21, 2025, 9:48 AM",08234319387,,Pending verification,10,0111,,,068a6eb8b2c470f0
66,,08221,,068a19566f447cc3,,"August 21, 2025, 9:52 AM",08234319589,,Pending verification,10,0111,,,068a6ec50def7b2a
75,,08019,,068c0044435b7030,,"September 9, 2025, 12:42 PM",08216641846,,Pending verification,15,0111,,,068c020bef2f71c8
95,,08030,,068c03a901b4772c,,"September 10, 2025, 3:28 PM",08216603248,,Pending verification,15,0111,,,068c1992a4c57ea4
96,,11500,,068c03cf349c7828,,"September 10, 2025, 3:29 PM",11122174893,,Pending verification,15,0111,,,068c1994937e7570
107,,30005,,068d53d7d1577d66,,"September 25, 2025, 1:17 PM",30136517344,,Pending verification,15,0111,,,068d540f77aa78b1
117,,46015,,068d53d7d8c572cd,,"September 25, 2025, 1:17 PM",46159064139,,Pending verification,15,0111,,,068d540fe3f37cd0
118,,3065,,068d53d7d1577d66,,"September 25, 2025, 1:21 PM",03145553180,,Pending verification,15,0111,,,068d541f050a7542
120,,3014,,068d53d7ec9f7214,,"September 25, 2025, 1:21 PM",03142253059,,Pending verification,15,0111,,,068d541f147c7347
122,,4013,,068d53d7bb0e768c,,"September 25, 2025, 1:21 PM",04118592718,,Pending verification,15,0111,,,068d541f221d78fe
123,,8024,,068d53d807317764,,"September 25, 2025, 1:21 PM",08216307501,,Pending verification,15,0111,,,068d541f27bc757c
125,,8840,,068d53d826d17841,,"September 25, 2025, 1:21 PM",08234115687,,Pending verification,15,0111,,,068d541f35407c43
131,,8019,,068e2b6cdaa071a7,,"October 5, 2025, 6:21 PM",08215713171,,Pending verification,15,0111,,,068e2b70e9eb7931
136,,28079,,068e2b6ccc917e34,,"October 5, 2025, 6:21 PM",28245771015,,Pending verification,15,0111,,,068e2b7111107dc8
140,,30030,,068e2b6d1c8673a0,,"October 5, 2025, 6:21 PM",30132582780,,Pending verification,15,0111,,,068e2b7126db7f8c
142,,30030,,068e2b6d26fc79a2,,"October 5, 2025, 6:21 PM",30132677053,,Pending verification,15,0111,,,068e2b71314e7f02
145,,28010,,068e2b6d09827bd8,,"October 5, 2025, 6:21 PM",28250010016,,Pending verification,15,0111,,,068e2b71421c7472
148,,23001,,067f79104abc7a3b,,"October 9, 2025, 6:38 AM",23128810342,,Pending verification,14,0111,,,068e758658ad7e55
149,,6083,,068f5f8ae06b74d5,,"October 20, 2025, 8:58 AM",06115065714,,Pending verification,15,0111,,,068f5f9b9b9e7233
150,,28065,,068f5f8b083a7a2f,,"October 20, 2025, 8:58 AM",28243011464,,Pending verification,15,0111,,,068f5f9ba3c57aa9
154,,26089,,068f5f8af58671e9,,"October 20, 2025, 8:58 AM",39112130135,,Pending verification,15,0111,,,068f5f9bc65a7345
160,,28007,,068ff89fd327730c,,"October 27, 2025, 3:05 PM",28252687418,,Pending verification,15,0111,,,068ff8a4400c7fb4
165,,29051,,068ff89ffdf179c5,,"October 27, 2025, 3:05 PM",29141866917,,Pending verification,15,0111,,,068ff8a46aa77bb8
171,,07009,,068c0044435b7030,,"November 25, 2025, 11:20 AM",07133047267,,Pending verification,15,0111,,,0692591184567129
167,,20180,,0690233e2a7973c3,,"October 29, 2025, 3:36 PM",20115285373,,Pending verification,23,0111,,,06902348fb81781f
172,,08907,,068c0463d645711e,,"November 26, 2025, 2:56 PM",08048577824,,Pending verification,18,0111,,,06927152e0777a09
173,,50007,,06932c3ee4157b24,,"December 5, 2025, 11:40 AM",50120515645,,Pending verification,24,0111,,,06932c4980407566
174,,28052,,06932ea4e89b7019,,"December 5, 2025, 2:21 PM",28234631977,,Pending verification,25,0111,,,06932ea7ec197c41
175,,35026,,067f79104abc7a3b,,"December 11, 2025, 11:56 AM",35124331813,,Pending verification,14,0111,,,0693ab154bc37806
2,456 Example Blvd,12345,Example City,0191db6efe10e834,,"July 4, 2024, 10:45 AM",08000000000,ESP,Pending verification,5,0111,D,,
59,Foodtruck,46015,,0687e77abe3d7963,,"July 22, 2025, 6:41 AM",46158873270,,Pending verification,9,0111,,,0687f32961e37b0e
67,,08030,,068a19566f447cc3,,"August 21, 2025, 9:55 AM",08234319589,,Pending verification,10,0111,,,068a6ecfddb17081
76,,08950,,068c0420c1117618,,"September 10, 2025, 2:57 PM",08186404724,,Pending verification,17,0111,,,068c191c924c7a36
78,,17834,,068c04406fe17a91,,"September 10, 2025, 3:01 PM",17113276328,,Pending verification,18,0111,,,068c192d842e742d
97,,11500,,068c03cf349c7828,,"September 10, 2025, 3:29 PM",29145949607,,Pending verification,15,0111,,,068c1995a15b7a8b
108,,28049,,068d53d7f4857cd3,,"September 25, 2025, 1:17 PM",28243593767,,Pending verification,15,0111,,,068d540f87227f6a
109,,28079,,068d53d7fcc27c41,,"September 25, 2025, 1:17 PM",45115998988,,Pending verification,15,0111,,,068d540f8c7f71bc
112,,18087,,068d53d80ec97888,,"September 25, 2025, 1:17 PM",41146654918,,Pending verification,15,0111,,,068d540fbbe7726a
115,,11901,,068d53d819c87089,,"September 25, 2025, 1:17 PM",11122802969,,Pending verification,15,0111,,,068d540fd1907f2d
119,,8184,,068d53d7e0b078f5,,"September 25, 2025, 1:21 PM",08215996592,,Pending verification,15,0111,,,068d541f0cf17d1a
121,,8015,,068d53d7e6ce7272,,"September 25, 2025, 1:21 PM",08216470579,,Pending verification,15,0111,,,068d541f1c297bb6
127,,50272,,068e2b6cf9b378ad,,"October 5, 2025, 6:21 PM",50120182714,,Pending verification,15,0111,,,068e2b70cbc37940
133,,3014,,068e2b6d014879c2,,"October 5, 2025, 6:21 PM",03142240834,,Pending verification,15,0111,,,068e2b70f9427cd6
135,,28049,,068e2b6ce98b7323,,"October 5, 2025, 6:21 PM",28247101329,,Pending verification,15,0111,,,068e2b7104407beb
139,,31192,,068e2b6d21b47c7c,,"October 5, 2025, 6:21 PM",31113593593,,Pending verification,15,0111,,,068e2b71215d7e65
144,,28022,,068e2b6d4a1c72d0,,"October 5, 2025, 6:21 PM",28131165515,,Pending verification,15,0111,,,068e2b713c637ed9
146,,12200,,068e2b6d3c4f774b,,"October 5, 2025, 6:23 PM",12112819527,,Pending verification,15,0111,,,068e2b797f5374d9
90,,07009,,068c00bd81c17dba,,"September 10, 2025, 3:24 PM",07128377628,,Pending verification,15,0111,,,068c19824e6a7827
132,,28821,,068e2b6cd4a47eaa,,"October 5, 2025, 6:21 PM",28246001488,,Pending verification,15,0111,,,068e2b70f18f7a8c
141,,46229,,068e2b6d31b97e41,,"October 5, 2025, 6:21 PM",46153059031,,Pending verification,15,0111,,,068e2b712c377767
151,,28049,,068f5f8b01dd7304,,"October 20, 2025, 8:58 AM",28257505991,,Pending verification,15,0111,,,068f5f9bab727d6d
159,,41091,,068f5f8aefb37848,,"October 20, 2025, 8:58 AM",41142524536,,Pending verification,15,0111,,,068f5f9beeec784b
134,,28022,,068e2b6d175c7c50,,"October 5, 2025, 6:21 PM",28247046765,,Pending verification,15,0111,,,068e2b70febe7264
161,,28092,,068ff89fdeeb72ae,,"October 27, 2025, 3:05 PM",28246956132,,Pending verification,15,0111,,,068ff8a447fb7975
163,,48003,,068ff89fed9e7c1e,,"October 27, 2025, 3:05 PM",48121408087,,Pending verification,15,0111,,,068ff8a458a273c2
166,,8125,,068ff8a006247654,,"October 27, 2025, 3:05 PM",08220138694,,Pending verification,15,0111,,,068ff8a47a65788b
168,,48080,,0690233e32277059,,"October 29, 2025, 3:36 PM",48121568846,,Pending verification,22,0111,,,0690234903db7b66
143,,15650,,068e2b6d115b78b8,,"October 5, 2025, 6:21 PM",15124189880,,Pending verification,15,0111,,,068e2b71373e7035
176,,38038,,067f79104abc7a3b,,"December 11, 2025, 11:56 AM",38123254541,,Pending verification,14,0111,,,0693ab17872a7514
37,Oficina,08210,Barberá del Vallés,019580a180b1136b,,"March 21, 2025, 5:17 PM",08217743606,ESP,Authorised,10,0111,,08252,0195b9b5a7126773
55,CUG - Sant Cugat,00000,Sant Cugat del Vallès,067f79104abc7a3b,,"May 5, 2025, 10:04 AM",08232146890,ESP,Authorised,14,0111,,08205,01969fe7cfdb74a3
51,SEV - Sevilla,00000,Sevilla,067f79104abc7a3b,,"April 25, 2025, 5:06 PM",41147764253,ESP,Authorised,14,0111,,41091,01966de9ddc76e79
35,CC Splau,08940,Cornellà de Llobregat,019580a180b1136b,,"March 11, 2025, 2:12 PM",08217743606,ESP,Authorised,10,0111,,08073,0195858d10fbbd1c
34,CC Finestrelles,08950,Esplugues de Llobregat,019580a180b1136b,,"March 11, 2025, 2:12 PM",08217743606,ESP,Authorised,10,0111,,08077,0195858c6ca265d2
